,address1,address2,city,country,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Michael Philip Daly', 'title': 'Group CEO, MD & Director', 'fiscalYear': 2022, 'totalPay': 891192, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
1,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Chris  Kinraid', 'title': 'Group Chief Financial Officer', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
2,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Jolann  van Dyk', 'title': 'Group Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
3,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Frances  Blundell', 'title': 'Chief Legal & ESG Officer and Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
4,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Linda  Barlow', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
5,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Amy  Beck', 'title': 'Pres of Oboz /Kathmandu North America', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
6,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Lachlan  Farran', 'title': 'Chief Commercial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
7,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mathieu  Lefin', 'title': 'Pres of KMD Brands - Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
8,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Megan  Welch', 'title': 'Chief Exec. Officer of Kathmandu', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
9,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. John  Connelly', 'title': 'Founder, Pres & CEO of Oboz Footwear', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.71,0.715,0.715,0.74,0.71,0.715,0.715,0.74,0.05,0.0653,1686700800,0.7246,0.857357,10.571428,4.111111,665476,665476,334420,367088,367088,0.74,0.745,0,0,532723040,0.7,1.085,0.47546643,0.8181,0.9461,0.06,0.08450704,AUD,892077184,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.64403826,1659225600,1690761600,1675123200,55030000,0.07,0.18,0.796,7.33,ASX,EQUITY,KMD.AX,KMD.AX,KMDBRANDS FPO NZX,KMD Brands Limited,1258066800,Australia/Sydney,AEST,36000000,0.74,1.74,0.9,1.17,0.95,3.0,hold,6,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
